"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Virginia",61.627,361,61.2376,361,105.306,191,110.587,101,108.155,231,105.615,144,4.97218,107
"2025","Virginia Tech",66.0683,288,65.2318,295,103.343,245,106.506,187,109.705,269,106.563,167,-0.0571902,164
"2025","VMI",68.0472,178,68.279,124,101.258,290,100.311,293,110.719,291,110.881,255,-10.5701,287
"2025","Wagner",60.4435,363,60.434,363,94.0259,357,92.3348,360,102.826,89,110.436,248,-18.1012,345
"2025","Wake Forest",67.882,186,67.1914,193,103.516,241,108.255,145,100.245,43,97.1492,35,11.1057,73
"2025","Washington",68.5447,150,67.768,152,103.446,242,109.506,124,109.988,276,103.989,111,5.51641,104
"2025","Washington St.",71.5404,26,70.6273,33,109.457,106,111.732,91,109.485,263,107.973,197,3.75983,124
"2025","Weber St.",65.8607,296,65.7133,277,102.472,265,101.169,279,112.1,318,112.898,302,-11.7295,300
"2025","West Georgia",68.9362,127,68.1056,132,98.3878,324,96.7548,338,114.508,341,115.552,331,-18.7974,350
"2025","West Virginia",65.2215,321,64.2819,331,102.641,261,109.203,132,98.1067,18,93.9661,14,15.2372,51
"2025","Western Carolina",71.0849,37,70.4952,37,93.6196,359,95.3412,347,112.177,319,112.446,284,-17.1053,338
"2025","Western Illinois",65.107,324,64.3442,330,101.127,294,99.2131,309,111.468,304,117.357,349,-18.144,346
"2025","Western Kentucky",72.8238,7,71.797,13,100.427,305,103.527,234,102.269,80,103.319,99,0.208126,161
"2025","Western Michigan",69.3157,105,67.9101,144,103.283,249,101.782,264,111.041,297,112.388,283,-10.6054,290
"2025","Wichita St.",69.2811,107,68.8043,96,105.352,190,107.247,172,104.805,147,104.651,126,2.5958,134
"2025","William & Mary",70.9658,39,71.36,18,108.286,127,107.406,165,110.617,289,112.82,297,-5.4142,231
"2025","Winthrop",73.8332,4,72.805,4,110.155,91,108.4,144,106.99,198,108.549,209,-0.148381,166
"2025","Wisconsin",68.6715,144,67.895,146,116.344,19,122.884,12,102.834,90,96.5019,27,26.3821,12
"2025","Wofford",64.5035,340,64.1738,333,112.477,57,113.951,68,109.307,257,109.801,235,4.14975,118
"2025","Wright St.",68.124,173,67.5437,167,111.059,73,109.951,109,112.072,317,114.039,314,-4.08782,214
"2025","Wyoming",65.2272,320,64.7466,318,100.606,303,103.562,233,108.115,229,105.856,150,-2.29363,189
"2025","Xavier",69.4496,98,69.1198,78,111.773,64,116.325,45,102.477,83,99.0579,49,17.2674,43
"2025","Yale",68.8642,137,67.5405,169,117.114,16,115.224,58,102.688,86,104.199,116,11.0253,74
"2025","Youngstown St.",69.9955,76,69.3062,70,104.582,216,102.561,249,102.897,93,105.276,136,-2.71462,194
